Authors,Author(s) ID,Title,Year,Source title,Cited by,Link,Affiliations,Authors with affiliations,Document Type,Source,EID
"Van den Bergh B.R.H., van den Heuvel M.I., Lahti M., Braeken M., de Rooij S.R., Entringer S., Hoyer D., Roseboom T., Räikkönen K., King S., Schwab M.","6603876668;56545266800;36026473000;37078827800;12771105200;22979054200;7102283506;6603548825;7003281795;7403002810;57207705325;","Prenatal developmental origins of behavior and mental health: The influence of maternal stress in pregnancy",2020,"Neuroscience and Biobehavioral Reviews",366,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028036596&doi=10.1016%2fj.neubiorev.2017.07.003&partnerID=40&md5=422b3a65ee54055e0842b7e3453c5865","Research Group on Health Psychology, Faculty of Psychology and Educational sciences, KU Leuven, Leuven, Belgium; Department for Welfare, Public Health and Family, Flemish Government, Brussels, Belgium; Merrill Palmer Skillman Institute for Child and Family Development, Wayne State University, Detroit, MI, United States; Department of Psychology and Logopedics, Faculty of Medicine, University of Helsinki, Helsinki, Finland; Rehabilitation Research Center, Biomedical Research Institute, Faculty of Medicine and Life Sciences, Hasselt University, Hasselt, Belgium; Department of Clinical Epidemiology, Biostatistics and Bioinformatics, Academic Medical Centre, University of Amsterdam, Amsterdam, Netherlands; Institute of Medical Psychology, Charité University Medicine Berlin, Berlin, Germany; Development, Health and Disease Research Program, University of California, Irvine, Irvine, United States; Biomagnetic Center, Hans Berger Department of Neurology, Jena University Hospital, Jena, Germany; Department of Obstetrics and Gynaecology, Academic Medical Centre, University of Amsterdam, Netherlands; Douglas Hospital Research Centre, Dept. of Psychiatry, McGill University, Montreal, QC, Canada; Hans Berger Department of Neurology, Jena University Hospital, Jena, Germany","Van den Bergh, B.R.H., Research Group on Health Psychology, Faculty of Psychology and Educational sciences, KU Leuven, Leuven, Belgium, Department for Welfare, Public Health and Family, Flemish Government, Brussels, Belgium; van den Heuvel, M.I., Merrill Palmer Skillman Institute for Child and Family Development, Wayne State University, Detroit, MI, United States; Lahti, M., Department of Psychology and Logopedics, Faculty of Medicine, University of Helsinki, Helsinki, Finland; Braeken, M., Rehabilitation Research Center, Biomedical Research Institute, Faculty of Medicine and Life Sciences, Hasselt University, Hasselt, Belgium; de Rooij, S.R., Department of Clinical Epidemiology, Biostatistics and Bioinformatics, Academic Medical Centre, University of Amsterdam, Amsterdam, Netherlands; Entringer, S., Institute of Medical Psychology, Charité University Medicine Berlin, Berlin, Germany, Development, Health and Disease Research Program, University of California, Irvine, Irvine, United States; Hoyer, D., Biomagnetic Center, Hans Berger Department of Neurology, Jena University Hospital, Jena, Germany; Roseboom, T., Department of Clinical Epidemiology, Biostatistics and Bioinformatics, Academic Medical Centre, University of Amsterdam, Amsterdam, Netherlands, Department of Obstetrics and Gynaecology, Academic Medical Centre, University of Amsterdam, Netherlands; Räikkönen, K., Department of Psychology and Logopedics, Faculty of Medicine, University of Helsinki, Helsinki, Finland; King, S., Douglas Hospital Research Centre, Dept. of Psychiatry, McGill University, Montreal, QC, Canada; Schwab, M., Hans Berger Department of Neurology, Jena University Hospital, Jena, Germany",Review,Scopus,2-s2.0-85028036596
"Wolf M.S., Serper M., Opsasnick L., O'Conor R.M., Curtis L., Benavente J.Y., Wismer G., Batio S., Eifler M., Zheng P., Russell A., Arvanitis M., Ladner D., Kwasny M., Persell S.D., Rowe T., Linder J.A., Bailey S.C.","35239316000;55469528800;56017585800;56020535400;22953093100;57200985305;57195402162;57218259149;57210111255;57218261627;57194384860;57184070600;6603116316;57211670662;6603190029;55652546300;7102663384;23468434000;","Awareness, Attitudes, and Actions Related to COVID-19 among Adults with Chronic Conditions at the Onset of the U.S. Outbreak ; A Cross-sectional Survey",2020,"Annals of Internal Medicine",300,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085565940&doi=10.7326%2fM20-1239&partnerID=40&md5=0a620b826ba4746c611a4a67ea24e3ff","Feinberg School of Medicine, Northwestern University, 750 North Lake Shore Drive, 10th Floor, Chicago, IL  60611, United States; Hospital of University of Pennsylvania, 3400 Spruce Street, 2 Dulles, Philadelphia, PA  19104, United States; Feinberg School of Medicine, Northwestern University, 676 North Saint Clair Street, Suite 1900, Chicago, IL  60611, United States; Feinberg School of Medicine, Northwestern University, 680 North Lake Shore Drive, Suite 1400, Chicago, IL  60611, United States","Wolf, M.S., Feinberg School of Medicine, Northwestern University, 750 North Lake Shore Drive, 10th Floor, Chicago, IL  60611, United States; Serper, M., Hospital of University of Pennsylvania, 3400 Spruce Street, 2 Dulles, Philadelphia, PA  19104, United States; Opsasnick, L., Feinberg School of Medicine, Northwestern University, 750 North Lake Shore Drive, 10th Floor, Chicago, IL  60611, United States; O'Conor, R.M., Feinberg School of Medicine, Northwestern University, 750 North Lake Shore Drive, 10th Floor, Chicago, IL  60611, United States; Curtis, L., Feinberg School of Medicine, Northwestern University, 750 North Lake Shore Drive, 10th Floor, Chicago, IL  60611, United States; Benavente, J.Y., Feinberg School of Medicine, Northwestern University, 750 North Lake Shore Drive, 10th Floor, Chicago, IL  60611, United States; Wismer, G., Feinberg School of Medicine, Northwestern University, 750 North Lake Shore Drive, 10th Floor, Chicago, IL  60611, United States; Batio, S., Feinberg School of Medicine, Northwestern University, 750 North Lake Shore Drive, 10th Floor, Chicago, IL  60611, United States; Eifler, M., Feinberg School of Medicine, Northwestern University, 750 North Lake Shore Drive, 10th Floor, Chicago, IL  60611, United States; Zheng, P., Feinberg School of Medicine, Northwestern University, 750 North Lake Shore Drive, 10th Floor, Chicago, IL  60611, United States; Russell, A., Feinberg School of Medicine, Northwestern University, 750 North Lake Shore Drive, 10th Floor, Chicago, IL  60611, United States; Arvanitis, M., Feinberg School of Medicine, Northwestern University, 750 North Lake Shore Drive, 10th Floor, Chicago, IL  60611, United States; Ladner, D., Feinberg School of Medicine, Northwestern University, 676 North Saint Clair Street, Suite 1900, Chicago, IL  60611, United States; Kwasny, M., Feinberg School of Medicine, Northwestern University, 680 North Lake Shore Drive, Suite 1400, Chicago, IL  60611, United States; Persell, S.D., Feinberg School of Medicine, Northwestern University, 750 North Lake Shore Drive, 10th Floor, Chicago, IL  60611, United States; Rowe, T., Feinberg School of Medicine, Northwestern University, 750 North Lake Shore Drive, 10th Floor, Chicago, IL  60611, United States; Linder, J.A., Feinberg School of Medicine, Northwestern University, 750 North Lake Shore Drive, 10th Floor, Chicago, IL  60611, United States; Bailey, S.C., Feinberg School of Medicine, Northwestern University, 750 North Lake Shore Drive, 10th Floor, Chicago, IL  60611, United States",Review,Scopus,2-s2.0-85085565940
"Sagar R., Dandona R., Gururaj G., Dhaliwal R.S., Singh A., Ferrari A., Dua T., Ganguli A., Varghese M., Chakma J.K., Kumar G.A., Shaji K.S., Ambekar A., Rangaswamy T., Vijayakumar L., Agarwal V., Krishnankutty R.P., Bhatia R., Charlson F., Chowdhary N., Erskine H.E., Glenn S.D., Krish V., Mantilla Herrera A.M., Mutreja P., Odell C.M., Pal P.K., Prakash S., Santomauro D., Shukla D.K., Singh R., Singh R.K.L., Thakur J.S., ThekkePurakkal A.S., Varghese C.M., Reddy K.S., Swaminathan S., Whiteford H., Bekedam H.J., Murray C.J.L., Vos T., Dandona L.","7004906586;57203043697;6603321122;36808106600;57208161055;57195348907;6603129199;48860944600;35410779700;6506970699;57139550500;6603491444;35749590300;7004114770;57202973343;57129974500;57214237327;57543881300;57191632086;23476646700;57202798676;57211970263;57203642934;57192713838;57199404738;57204283884;35578625800;57218145497;56912450700;7005184950;57215037931;57215038206;57204002123;56524492000;57517523800;57210953127;57211728266;57212431780;25228197200;55481130700;57223885848;7007017243;","The burden of mental disorders across the states of India: the Global Burden of Disease Study 1990–2017",2020,"The Lancet Psychiatry",187,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078030007&doi=10.1016%2fS2215-0366%2819%2930475-4&partnerID=40&md5=cb8e85f4b027fef3ea27d6af1fcc11e6",,"Sagar, R.; Dandona, R.; Gururaj, G.; Dhaliwal, R.S.; Singh, A.; Ferrari, A.; Dua, T.; Ganguli, A.; Varghese, M.; Chakma, J.K.; Kumar, G.A.; Shaji, K.S.; Ambekar, A.; Rangaswamy, T.; Vijayakumar, L.; Agarwal, V.; Krishnankutty, R.P.; Bhatia, R.; Charlson, F.; Chowdhary, N.; Erskine, H.E.; Glenn, S.D.; Krish, V.; Mantilla Herrera, A.M.; Mutreja, P.; Odell, C.M.; Pal, P.K.; Prakash, S.; Santomauro, D.; Shukla, D.K.; Singh, R.; Singh, R.K.L.; Thakur, J.S.; ThekkePurakkal, A.S.; Varghese, C.M.; Reddy, K.S.; Swaminathan, S.; Whiteford, H.; Bekedam, H.J.; Murray, C.J.L.; Vos, T.; Dandona, L.",Article,Scopus,2-s2.0-85078030007
"Posner J., Polanczyk G.V., Sonuga-Barke E.","56503184500;6507552141;7005682785;","Attention-deficit hyperactivity disorder",2020,"The Lancet",183,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078863043&doi=10.1016%2fS0140-6736%2819%2933004-1&partnerID=40&md5=4d8f9e723b1ff58710011c3ffd2e93c9","Columbia University Vagelos College of Physicians and Surgeons, Columbia University, New York, NY, United States; New York State Psychiatric Institute, Columbia University, New York, NY, United States; Faculdade de Medicina, Universidade de São Paulo, São Paulo, Brazil; Department of Child and Adolescent Psychiatry, King's College London, London, United Kingdom","Posner, J., Columbia University Vagelos College of Physicians and Surgeons, Columbia University, New York, NY, United States, New York State Psychiatric Institute, Columbia University, New York, NY, United States; Polanczyk, G.V., Faculdade de Medicina, Universidade de São Paulo, São Paulo, Brazil; Sonuga-Barke, E., Department of Child and Adolescent Psychiatry, King's College London, London, United Kingdom",Review,Scopus,2-s2.0-85078863043
"Zhang J., Shuai L., Yu H., Wang Z., Qiu M., Lu L., Cao X., Xia W., Wang Y., Chen R.","56125426600;35798921900;57214889204;57216376001;56285595800;57201547440;57206146979;56818428600;57189898074;57195321513;","Acute stress, behavioural symptoms and mood states among school-age children with attention-deficit/hyperactive disorder during the COVID-19 outbreak",2020,"Asian Journal of Psychiatry",154,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083313937&doi=10.1016%2fj.ajp.2020.102077&partnerID=40&md5=a6a7069535d3e0e54498cc8ee7c70194","Department of Medical Psychology, Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, China; Ministry of Education-Shanghai Key Laboratory of Children's Environmental Health, Shanghai, China; Division of Psychology, Faculty of Health and Life Sciences, De Montfort University, Leicester, United Kingdom; Department of Psychiatry, The Second Xiangya Hospital, Central South University, Central South University, National Clinical Research Centre on Mental Disorders (Xiangya), Hunan Medical Center for Mental Health, Changsha, Hunan, China","Zhang, J., Department of Medical Psychology, Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, China, Ministry of Education-Shanghai Key Laboratory of Children's Environmental Health, Shanghai, China; Shuai, L., Department of Medical Psychology, Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, China, Ministry of Education-Shanghai Key Laboratory of Children's Environmental Health, Shanghai, China; Yu, H., Division of Psychology, Faculty of Health and Life Sciences, De Montfort University, Leicester, United Kingdom; Wang, Z., Department of Medical Psychology, Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, China; Qiu, M., Department of Medical Psychology, Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, China; Lu, L., Department of Medical Psychology, Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, China; Cao, X., Department of Medical Psychology, Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, China; Xia, W., Department of Medical Psychology, Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, China; Wang, Y., Division of Psychology, Faculty of Health and Life Sciences, De Montfort University, Leicester, United Kingdom; Chen, R., Department of Psychiatry, The Second Xiangya Hospital, Central South University, Central South University, National Clinical Research Centre on Mental Disorders (Xiangya), Hunan Medical Center for Mental Health, Changsha, Hunan, China",Article,Scopus,2-s2.0-85083313937
"Weller B.E., Bowen N.K., Faubert S.J.","23029579100;7006490410;57211690394;","Latent Class Analysis: A Guide to Best Practice",2020,"Journal of Black Psychology",126,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085959761&doi=10.1177%2f0095798420930932&partnerID=40&md5=667d174030e9f70cb35956c5e1d2f311","Western Michigan University, Kalamazoo, MI, United States; The Ohio State University, Columbus, OH, United States; Grand Valley State University, Grand Rapids, MI, United States","Weller, B.E., Western Michigan University, Kalamazoo, MI, United States; Bowen, N.K., The Ohio State University, Columbus, OH, United States; Faubert, S.J., Grand Valley State University, Grand Rapids, MI, United States",Article,Scopus,2-s2.0-85085959761
"Ashdown-Franks G., Firth J., Carney R., Carvalho A.F., Hallgren M., Koyanagi A., Rosenbaum S., Schuch F.B., Smith L., Solmi M., Vancampfort D., Stubbs B.","57188815444;56503241000;56999993300;56225206500;35072791900;57197741912;45761309400;14016488400;37117793800;6507233742;26326634000;57204891343;","Exercise as Medicine for Mental and Substance Use Disorders: A Meta-review of the Benefits for Neuropsychiatric and Cognitive Outcomes",2020,"Sports Medicine",126,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073942761&doi=10.1007%2fs40279-019-01187-6&partnerID=40&md5=6d0209810177d6f85470d368cb0bcb9e","South London and Maudsley NHS Foundation Trust, Denmark Hill, London, SE5 8AZ, United Kingdom; Psychological Medicine, Institute of Psychiatry, Psychology and Neuroscience (IoPPN), King’s College London, London, United Kingdom; Faculty of Kinesiology and Physical Education, University of Toronto, Toronto, ON, Canada; NICM Health Research Institute, Western Sydney University, Westmead, Australia; Division of Psychology and Mental Health, University of Manchester, Manchester, United Kingdom; Centre for Youth Mental Health, University of Melbourne, Melbourne, Australia; Youth Mental Health Research Unit, Greater Manchester Mental Health NHS Foundation Trust, Manchester, United Kingdom; Department of Psychiatry, University of Toronto and Centre for Addiction and Mental Health (CAMH), Toronto, ON, Canada; Unit of Epidemiology of Psychiatric Conditions, Substance Use and Social Environment (EPiCS), Department of Public Health Sciences, Karolinska Institutet, Stockholm, Sweden; Research and Development Unit, Parc Sanitari Sant Joan de Déu, Universitat de Barcelona, Fundació Sant Joan de Déu, Dr Antoni Pujadas, 42, Sant Boi de Llobregat, Barcelona, 08830, Spain; School of Psychiatry UNSW, Sydney, Australia; Black Dog Institute, Sydney, Australia; Department of Methods and Sports Techniques, Universidade Federal de Santa Maria, Santa Maria, Brazil; The Cambridge Centre for Sport and Exercise Sciences, Anglia Ruskin University, Cambridge, United Kingdom; Neurosciences Department, University of Padova, Padua, Italy; Department of Rehabilitation Sciences, KU Leuven, Louvain, Belgium; UPC KU Leuven, Leuven-Kortenberg, Belgium","Ashdown-Franks, G., South London and Maudsley NHS Foundation Trust, Denmark Hill, London, SE5 8AZ, United Kingdom, Psychological Medicine, Institute of Psychiatry, Psychology and Neuroscience (IoPPN), King’s College London, London, United Kingdom, Faculty of Kinesiology and Physical Education, University of Toronto, Toronto, ON, Canada; Firth, J., NICM Health Research Institute, Western Sydney University, Westmead, Australia, Division of Psychology and Mental Health, University of Manchester, Manchester, United Kingdom, Centre for Youth Mental Health, University of Melbourne, Melbourne, Australia; Carney, R., Youth Mental Health Research Unit, Greater Manchester Mental Health NHS Foundation Trust, Manchester, United Kingdom; Carvalho, A.F., Department of Psychiatry, University of Toronto and Centre for Addiction and Mental Health (CAMH), Toronto, ON, Canada; Hallgren, M., Unit of Epidemiology of Psychiatric Conditions, Substance Use and Social Environment (EPiCS), Department of Public Health Sciences, Karolinska Institutet, Stockholm, Sweden; Koyanagi, A., Research and Development Unit, Parc Sanitari Sant Joan de Déu, Universitat de Barcelona, Fundació Sant Joan de Déu, Dr Antoni Pujadas, 42, Sant Boi de Llobregat, Barcelona, 08830, Spain; Rosenbaum, S., School of Psychiatry UNSW, Sydney, Australia, Black Dog Institute, Sydney, Australia; Schuch, F.B., Department of Methods and Sports Techniques, Universidade Federal de Santa Maria, Santa Maria, Brazil; Smith, L., The Cambridge Centre for Sport and Exercise Sciences, Anglia Ruskin University, Cambridge, United Kingdom; Solmi, M., Neurosciences Department, University of Padova, Padua, Italy; Vancampfort, D., Department of Rehabilitation Sciences, KU Leuven, Louvain, Belgium, UPC KU Leuven, Leuven-Kortenberg, Belgium; Stubbs, B., South London and Maudsley NHS Foundation Trust, Denmark Hill, London, SE5 8AZ, United Kingdom, Psychological Medicine, Institute of Psychiatry, Psychology and Neuroscience (IoPPN), King’s College London, London, United Kingdom, Faculty of Kinesiology and Physical Education, University of Toronto, Toronto, ON, Canada",Review,Scopus,2-s2.0-85073942761
"Oswalt S.B., Lederer A.M., Chestnut-Steich K., Day C., Halbritter A., Ortiz D.","10040835300;55794130800;57202328791;56785145900;56736348600;57204420541;","Trends in college students’ mental health diagnoses and utilization of services, 2009–2015",2020,"Journal of American College Health",124,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055558200&doi=10.1080%2f07448481.2018.1515748&partnerID=40&md5=5c8698dfefe9007f8d58c2180ccad0f2","Department of Kinesiology, Health and Nutrition, University of Texas at San Antonio, San Antonio, TX, United States; American College Health Association Health Promotion Section Research Committee, Silver Spring, MD, United States; Department of Global Community Health and Behavioral Sciences, Tulane University School of Public Health and Tropical Medicine, New Orleans, LA, United States; Student Affairs, West Chester University of Pennsylvania, West Chester, PA, United States; Health Education Services, Georgetown University, Washington, DC, United States; Campus Health, University of Pennsylvania, Philadelphia, PA, United States; Wellness and Education Program, Lehman CollegeNY, United States","Oswalt, S.B., Department of Kinesiology, Health and Nutrition, University of Texas at San Antonio, San Antonio, TX, United States, American College Health Association Health Promotion Section Research Committee, Silver Spring, MD, United States; Lederer, A.M., American College Health Association Health Promotion Section Research Committee, Silver Spring, MD, United States, Department of Global Community Health and Behavioral Sciences, Tulane University School of Public Health and Tropical Medicine, New Orleans, LA, United States; Chestnut-Steich, K., American College Health Association Health Promotion Section Research Committee, Silver Spring, MD, United States, Student Affairs, West Chester University of Pennsylvania, West Chester, PA, United States; Day, C., American College Health Association Health Promotion Section Research Committee, Silver Spring, MD, United States, Health Education Services, Georgetown University, Washington, DC, United States; Halbritter, A., American College Health Association Health Promotion Section Research Committee, Silver Spring, MD, United States, Campus Health, University of Pennsylvania, Philadelphia, PA, United States; Ortiz, D., American College Health Association Health Promotion Section Research Committee, Silver Spring, MD, United States, Wellness and Education Program, Lehman CollegeNY, United States",Article,Scopus,2-s2.0-85055558200
"Arnold L.E., Hodgkins P., Kahle J., Madhoo M., Kewley G.","7202014301;7004360842;55349292500;50262585100;13606597200;","Long-Term Outcomes of ADHD: Academic Achievement and Performance",2020,"Journal of Attention Disorders",117,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077180403&doi=10.1177%2f1087054714566076&partnerID=40&md5=63e23d329f2555f110854c9ef0e41107","Ohio State University, Columbus, United States; Global Health Economics Outcomes Research, Shire, Wayne, PA, United States; Vertex Pharmaceuticals, Boston, MA, United States; BPS International, San Diego, CA, United States; Behavioural Health Medical Strategy, Shire, Wayne, PA, United States; Learning Assessment Neurocare Centre, West Sussex, United Kingdom","Arnold, L.E., Ohio State University, Columbus, United States; Hodgkins, P., Global Health Economics Outcomes Research, Shire, Wayne, PA, United States, Vertex Pharmaceuticals, Boston, MA, United States; Kahle, J., BPS International, San Diego, CA, United States; Madhoo, M., Behavioural Health Medical Strategy, Shire, Wayne, PA, United States; Kewley, G., Learning Assessment Neurocare Centre, West Sussex, United Kingdom",Article,Scopus,2-s2.0-85077180403
"Dalsgaard Sø., Thorsteinsson E., Trabjerg B.B., Schullehner J., Plana-Ripoll O., Brikell I., Wimberley T., Thygesen M., Madsen K.B., Timmerman A., Schendel D., McGrath J.J., Mortensen P.B., Pedersen C.B.","57218540914;57204550875;56610396900;56575085700;41662092800;56703476600;55227523200;56533875500;56785314100;57209326549;7006054933;57202560550;7102903327;7202774222;","Incidence Rates and Cumulative Incidences of the Full Spectrum of Diagnosed Mental Disorders in Childhood and Adolescence",2020,"JAMA Psychiatry",112,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075604816&doi=10.1001%2fjamapsychiatry.2019.3523&partnerID=40&md5=0d43e36a8e38ecdd0fcb3098fc5c58ae","Lundbeck Foundation Initiative for Integrative Psychiatric Research (IPSYCH), Aarhus, Denmark; National Centre for Register-Based Research, Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 26, Aarhus V, 8210, Denmark; Centre for Integrated Register-based Research, Aarhus University, Aarhus, Denmark; Geological Survey of Denmark and Greenland, Aarhus, Denmark; Department of Public Health, Aarhus University, Aarhus, Denmark; Queensland Centre for Mental Health Research, Park Centre for Mental Health, Wacol, Australia; Queensland Brain Institute, University of Queensland, Brisbane, Australia","Dalsgaard, Sø., Lundbeck Foundation Initiative for Integrative Psychiatric Research (IPSYCH), Aarhus, Denmark, National Centre for Register-Based Research, Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 26, Aarhus V, 8210, Denmark; Thorsteinsson, E., Lundbeck Foundation Initiative for Integrative Psychiatric Research (IPSYCH), Aarhus, Denmark, National Centre for Register-Based Research, Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 26, Aarhus V, 8210, Denmark; Trabjerg, B.B., Lundbeck Foundation Initiative for Integrative Psychiatric Research (IPSYCH), Aarhus, Denmark, National Centre for Register-Based Research, Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 26, Aarhus V, 8210, Denmark, Centre for Integrated Register-based Research, Aarhus University, Aarhus, Denmark; Schullehner, J., National Centre for Register-Based Research, Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 26, Aarhus V, 8210, Denmark, Geological Survey of Denmark and Greenland, Aarhus, Denmark; Plana-Ripoll, O., National Centre for Register-Based Research, Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 26, Aarhus V, 8210, Denmark; Brikell, I., Lundbeck Foundation Initiative for Integrative Psychiatric Research (IPSYCH), Aarhus, Denmark, National Centre for Register-Based Research, Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 26, Aarhus V, 8210, Denmark; Wimberley, T., Lundbeck Foundation Initiative for Integrative Psychiatric Research (IPSYCH), Aarhus, Denmark, National Centre for Register-Based Research, Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 26, Aarhus V, 8210, Denmark; Thygesen, M., Lundbeck Foundation Initiative for Integrative Psychiatric Research (IPSYCH), Aarhus, Denmark, National Centre for Register-Based Research, Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 26, Aarhus V, 8210, Denmark, Centre for Integrated Register-based Research, Aarhus University, Aarhus, Denmark; Madsen, K.B., Lundbeck Foundation Initiative for Integrative Psychiatric Research (IPSYCH), Aarhus, Denmark, National Centre for Register-Based Research, Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 26, Aarhus V, 8210, Denmark; Timmerman, A., Lundbeck Foundation Initiative for Integrative Psychiatric Research (IPSYCH), Aarhus, Denmark, National Centre for Register-Based Research, Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 26, Aarhus V, 8210, Denmark, Centre for Integrated Register-based Research, Aarhus University, Aarhus, Denmark; Schendel, D., Lundbeck Foundation Initiative for Integrative Psychiatric Research (IPSYCH), Aarhus, Denmark, National Centre for Register-Based Research, Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 26, Aarhus V, 8210, Denmark, Department of Public Health, Aarhus University, Aarhus, Denmark; McGrath, J.J., National Centre for Register-Based Research, Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 26, Aarhus V, 8210, Denmark, Queensland Centre for Mental Health Research, Park Centre for Mental Health, Wacol, Australia, Queensland Brain Institute, University of Queensland, Brisbane, Australia; Mortensen, P.B., Lundbeck Foundation Initiative for Integrative Psychiatric Research (IPSYCH), Aarhus, Denmark, National Centre for Register-Based Research, Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 26, Aarhus V, 8210, Denmark, Centre for Integrated Register-based Research, Aarhus University, Aarhus, Denmark; Pedersen, C.B., Lundbeck Foundation Initiative for Integrative Psychiatric Research (IPSYCH), Aarhus, Denmark, National Centre for Register-Based Research, Department of Economics and Business Economics, Aarhus University, Fuglesangs Alle 26, Aarhus V, 8210, Denmark, Centre for Integrated Register-based Research, Aarhus University, Aarhus, Denmark",Article,Scopus,2-s2.0-85075604816
